Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,20,364000,90,250,1830810,5302870,8
2,15,441487,7,487,1253707,404175,3
3,40,748280,26,146,2610706,4815986,3
3,29,395453,19,290,853779,9125961,9
1,6,193218,6,258,1139094,3819300,7
2,8,221276,24,116,326072,440816,10
2,15,346275,45,525,1093912,5743035,3
2,12,205824,60,582,1179888,5907210,8
3,25,225433,83,725,1290000,3052433,13
1,5,132955,10,130,285845,1647940,15
2,16,490792,16,248,1380560,1499272,2
3,30,549370,20,440,1503210,3193680,3
1,1,41715,8,36,70406,824376,11
1,3,135867,3,120,432735,497823,1
3,26,389341,34,762,1671938,8410566,9
2,9,150286,31,193,801589,3548277,14
3,28,621889,9,448,834297,4564289,15
1,1,42284,1,47,166505,132575,2
3,38,507680,126,1266,2304434,4367834,14
1,2,75316,2,162,309342,1374676,3
2,22,698258,77,803,2052688,4804052,8
3,28,617941,56,914,557470,9244153,10
2,23,798456,11,483,1142996,4497523,12
3,37,635697,37,61,1686213,3216348,8
2,24,366444,60,300,1512864,10183212,6
3,30,469480,30,50,1677950,5722830,7
2,15,505470,60,562,1481100,5951610,13
1,3,170973,27,42,219165,869901,4
3,35,752756,58,583,1749463,1755740,13
3,34,389968,22,79,1778653,2069285,13
2,22,719180,77,99,1712172,3761967,7
2,11,209148,16,517,887293,1165884,14
2,15,531382,37,97,1295715,5466607,11
3,30,578540,40,610,1236040,6363410,14
3,30,629030,90,260,604160,1770040,3
3,38,331816,76,1038,1999395,9996242,13
2,12,247128,18,336,638232,3190590,13
3,38,385611,50,1152,2151737,864436,6
3,34,266163,79,136,2156166,7699526,8
1,6,250410,36,438,1145772,5701872,1
3,26,313742,60,69,738495,3889400,1
1,6,303990,42,558,418572,1715670,11
2,21,359341,73,903,1852389,6965511,6
3,28,421176,9,784,1454142,654873,2
3,39,952406,26,182,1360983,8016086,1
3,31,503564,51,299,1727826,7877616,13
2,7,183662,10,122,236295,552048,5
1,1,69637,9,17,77754,258834,9
3,25,180083,50,583,1339941,7225200,14
3,25,337333,16,633,1358708,6209358,10
2,24,859164,24,984,765588,11123172,12
2,13,349342,58,201,1266479,3457382,10
3,27,657810,90,666,1453509,5082246,5
2,19,249261,9,950,1518727,4215701,2
2,14,352716,7,217,1105286,6052438,5
2,8,146012,28,56,283340,1617236,5
3,29,230724,96,116,1494727,4458730,6
2,13,432178,19,357,870272,4037741,8
1,4,81180,8,16,774596,2556928,2
2,7,184289,14,210,402846,2778006,12
2,16,163256,48,112,1443544,6245384,6
3,27,193599,36,873,650151,6444513,10
2,19,238934,76,142,1794987,3531872,15
2,21,690816,10,241,1054735,1646232,3
1,3,63522,15,96,474429,689202,5
3,27,298098,45,819,1409499,2423538,10
2,17,533256,42,688,552330,1552465,4
3,38,423028,25,722,1849561,7742943,13
3,26,355116,8,658,539318,6908096,4
2,9,305311,18,297,892084,3343837,6
1,6,364236,36,324,504588,2997348,6
3,29,453821,67,560,790317,8064784,10
3,40,857066,53,680,1143733,8082826,13
3,38,269179,63,1038,699998,2305637,11
1,3,127926,18,108,411507,2947665,11
3,28,546942,18,634,629076,8497972,15
1,2,53888,16,20,261974,1391008,1
2,20,545590,30,720,1485750,7402170,12
2,17,384812,85,629,1280236,7658440,3
3,29,493270,87,154,1226274,7685821,8
3,28,296940,84,513,1679402,7720878,3
3,40,342680,120,40,1014880,2429213,1
2,13,232492,65,396,1253304,3759184,12
3,26,382070,60,277,762233,1346947,10
3,32,588064,74,341,1243018,3399765,9
2,14,147224,21,259,1145851,2758511,12
1,3,221691,24,72,427290,2582718,7
3,28,219538,37,700,1014001,6503485,5
1,4,270532,24,316,451584,2861396,10
3,30,392900,50,290,972900,8674530,10
2,10,122875,35,170,611415,4676465,13
3,27,326979,27,477,1779966,2831292,1
2,13,455429,39,474,468559,5084306,13
2,10,341880,5,345,304495,1173540,9
1,5,240680,45,205,513680,1959760,9
2,10,324780,40,345,306945,758645,9
3,26,251818,52,771,1472718,5423608,8
2,12,135822,6,282,529854,4661964,7
2,20,460620,90,670,1869390,6798580,8
3,29,696290,29,570,1609045,7165880,3
2,18,323991,90,9,598617,5504490,6
3,30,712730,50,370,569300,9861230,7
2,20,278540,30,740,1282320,617910,14
3,39,847639,52,1235,1319357,1438580,12
2,24,324888,36,948,1316832,3013776,12
2,21,602175,105,787,2023560,3045819,6
3,30,307970,60,980,1953400,9164820,13
3,38,713918,114,164,1214226,7853802,14
2,20,518160,70,60,1026130,9004100,8
3,31,506044,10,713,584091,1553647,7
3,39,503802,52,507,1934335,12140622,13
3,36,594360,60,288,617796,7197468,15
1,4,128428,28,316,691328,2940732,13
2,21,254919,42,892,982390,6100657,15
3,28,608001,28,681,936432,5089056,7
3,31,657241,93,299,604634,5381703,15
3,26,459385,26,251,491183,1247956,5
3,35,289205,58,1108,1705631,6555885,7
2,19,402325,9,427,1037590,6259892,2
2,19,571187,66,893,813646,4869168,10
1,5,350655,5,410,431385,744630,13
2,13,213720,19,403,763613,469404,14
3,36,248640,24,792,1996356,10116840,1
3,27,611415,90,450,1688022,4521879,1
3,39,488449,26,13,963248,5214326,6
2,13,186686,58,247,1238347,5210107,8
2,13,421505,32,448,755059,1151189,3
3,36,571260,12,480,1016160,8924364,3
3,40,760946,133,53,1608226,5092840,15
3,39,431873,26,1079,1541228,11676262,11
3,40,539186,40,746,1766440,6569400,5
2,19,264888,66,931,810407,8565589,15
1,2,86936,6,8,273792,1050290,10
3,31,672989,51,651,750768,6561956,15
2,8,121144,24,304,327908,3881144,2
2,18,328248,54,882,1763685,3222513,15
1,6,140766,42,264,457194,4688346,2
2,10,345375,25,420,870845,3399760,14
3,26,186394,86,173,992723,1480405,6
2,8,90540,24,272,638444,1183504,12
1,4,104456,4,236,664644,1711348,11
1,5,237295,10,410,548700,510670,1
2,22,742819,33,693,828938,1143857,11
3,37,896941,37,1171,1490767,6329121,14
2,23,505298,57,989,1721412,7228037,12
2,18,510957,9,486,924759,2679327,15
2,21,220332,105,136,1167484,3474156,5
3,35,311325,70,163,1986868,6744698,9
3,30,650300,10,390,1867650,1678640,14
3,40,524400,93,1106,1483333,4816586,12
2,22,361779,88,275,568909,8774106,4
1,4,191412,40,248,550116,1468728,10
3,40,447080,120,1293,2417506,6109320,5
1,6,212292,12,258,963216,5717682,11
3,31,762403,103,155,858390,6590837,8
2,21,585973,84,430,787626,9725289,12
2,16,431128,48,72,545544,5234192,13
1,2,145850,18,148,134530,533820,9
2,18,638244,9,549,1403199,2490858,2
2,19,415596,47,836,642912,4682426,9
3,27,423954,54,837,1354158,7664634,13
2,11,149336,55,209,735322,1247510,11
2,10,241795,20,495,257310,266370,4
3,29,277810,48,222,514904,6458744,9
2,14,256809,63,455,1160880,5544385,11
3,30,602200,90,980,1755870,4302520,13
2,12,142548,30,270,910056,2375040,7
1,1,35527,4,95,87314,947421,2
1,5,295400,50,60,517350,3919515,8
3,33,664290,99,583,1800447,2913658,12
2,21,315997,10,955,1284160,6011239,2
2,21,405846,63,357,692254,5278434,5
2,20,402210,70,850,920120,6123700,2
3,31,473049,10,950,1961886,3626359,15
3,36,888336,108,708,930732,8878368,4
2,18,263286,54,531,1705419,5970636,3
3,31,403692,51,981,1050414,4492427,1
3,37,862038,12,234,2177869,2355913,1
2,9,139288,40,117,653463,740893,15
2,15,445312,52,120,727237,5489827,6
3,30,496430,30,640,678300,8449590,5
2,21,282985,105,241,1024023,2533030,2
3,37,684697,98,715,728160,10180476,12
2,17,408586,17,323,516978,8246861,11
3,29,557109,77,502,1120618,7815461,15
3,39,687180,78,923,1975506,1105663,5
2,17,229075,85,212,1593920,2822790,15
3,39,854035,52,13,1282723,8738795,2
2,16,459272,32,96,1540968,5282976,14
1,2,68150,12,70,329102,981320,10
3,38,342228,12,316,1063151,4285399,10
2,19,268175,57,95,1185790,2022759,3
2,17,491716,51,722,830875,4374185,14
3,38,627164,76,1152,1165827,1969920,2
2,22,295548,77,231,1203213,8163958,13
1,4,237252,8,240,524496,955792,2
2,8,292892,28,136,280756,2235980,4
3,31,652457,51,72,591614,9363674,2
3,38,395187,25,684,1850106,933280,8
3,38,927630,101,139,1564751,10410264,4
2,17,326102,59,212,443759,2987648,14
3,33,489643,44,275,1498508,2571426,6
3,34,781150,11,861,996268,7574146,2
2,21,240922,105,493,2015811,5587470,2
3,25,473491,58,425,1358041,1883966,11
1,1,26778,9,68,146112,209727,10
2,22,321629,66,550,643049,5964552,4
2,14,522102,7,595,1060430,6368327,15
2,12,443814,12,264,503202,3963702,7
1,5,145485,45,35,391020,1786865,1
1,1,44905,8,76,184074,225572,15
3,37,534045,37,789,1280027,1953563,2
2,10,372690,30,370,499275,860360,11
3,33,289289,66,858,1839211,4150190,6
3,40,311533,93,266,2237800,5557440,10
2,9,202239,36,207,866722,1383507,3
2,21,740491,31,598,1837710,9759088,7
2,9,236277,22,279,478363,1944657,3
1,4,201828,28,392,245604,3362152,5
2,24,386388,72,1068,2318112,7665948,12
2,16,542256,48,272,1083616,7081136,6
1,2,41388,6,26,374256,285426,1
2,13,408551,6,195,880074,918300,1
1,4,144404,32,364,379332,857488,8
2,9,119317,22,382,323136,2590767,7
2,21,759276,10,924,656512,7672864,6
3,40,669240,93,1213,2470160,4402440,6
1,1,25569,1,81,50056,192010,4
2,8,288652,24,392,212392,3134756,13
2,19,642703,76,237,1235950,1745017,11
3,40,814786,40,573,2530200,9777226,2
2,9,249957,40,355,560497,3070683,4
3,32,377930,64,512,838197,2304949,1
3,26,556348,34,364,1155864,830188,5
3,34,371404,90,226,1004541,4201572,3
3,37,272653,24,98,1666480,11255104,8
1,3,104562,21,198,562302,899352,7
2,22,751586,55,561,763477,9386047,11
1,4,91316,16,168,291028,922500,3
2,9,280854,45,193,825795,702423,11
3,35,773115,58,513,1152176,8157368,6
2,22,313258,22,22,713900,10562475,10
3,30,386070,80,930,1509760,7501280,3
3,40,421226,93,720,1116386,9541013,14
2,17,629221,42,603,1527637,3991957,6
1,3,86265,15,285,517323,702897,1
2,14,405230,49,287,655501,560595,4
3,26,458068,69,173,1695581,5569824,7
2,24,856800,120,516,1427460,2142972,14
3,29,621441,48,183,1922178,2034427,11
3,28,601029,46,326,967857,520324,10
3,31,734214,41,909,1611338,9499247,14
3,27,320292,27,639,907839,7761465,1
3,35,551798,58,595,2133868,6210236,11
3,35,578888,35,478,1679650,5561861,10
2,14,411943,63,455,684425,6315288,3
1,4,153116,28,332,231964,2150116,3
3,36,636372,72,468,2315232,5570664,10
3,27,656712,63,297,940086,2386620,14
3,28,306796,37,653,966896,8962492,3
3,25,258358,41,408,745966,4660441,11
2,11,113844,44,242,1080480,2562840,4
1,1,48821,5,19,114401,678082,13
3,40,503533,40,506,2368280,5802066,4
3,28,523534,18,746,1692982,598322,8
3,31,554497,41,806,1058464,6772218,9
1,5,277990,45,390,772285,2491945,10
2,13,405944,26,39,578948,3647052,14
3,38,504361,126,848,979931,6845776,12
1,6,250632,48,234,885228,1743930,6
2,16,567248,48,656,549312,3699576,13
2,11,190586,5,280,860728,426657,14
3,40,542093,133,1013,1635986,5405266,4
2,8,291432,20,48,316372,552848,10
2,21,214483,52,819,1623216,3983101,9
3,36,690924,48,228,1793676,5264100,4
3,29,304587,38,947,1020055,9030793,14
3,34,847268,11,22,1368738,10716278,10
3,27,253476,90,81,652095,7687755,11
3,40,635840,106,933,703426,6983360,10
3,28,676358,56,270,1830584,1699488,1
3,25,562933,58,258,885125,2729383,8
3,30,536330,80,620,577380,2485490,1
2,7,243691,21,276,497612,424189,5
2,13,448597,65,559,1086189,5147493,14
2,20,326210,100,880,1855410,5402370,13
3,38,441889,50,874,2249625,11543893,14
3,31,626944,62,144,1447617,9218945,13
1,6,394032,30,486,1119690,2754594,7
3,36,435036,12,840,1343820,8456364,9
1,6,177810,12,438,1040472,5996472,9
2,16,349216,48,456,1448872,415368,8
2,18,521757,90,801,1169001,2345913,5
3,25,426908,83,708,1187683,4588308,15
3,33,812119,33,528,1091695,4562272,14
2,17,599216,25,782,1101081,7436471,3
3,28,336662,18,112,1564621,1320704,9
3,29,200428,87,957,1570736,5395778,5
2,10,172705,50,95,953330,2610620,12
2,9,202531,13,346,594436,2554533,1
2,22,549714,33,352,2067428,1931578,9
3,33,318131,55,869,943569,8157347,4
2,9,289152,45,391,484726,2555586,12
2,18,592650,81,612,547236,5461893,11
3,26,403762,34,242,1622590,2500818,4
3,33,473165,77,253,1680745,6161705,10
3,27,255213,9,225,757269,7601661,8
1,6,313680,24,180,836826,5958972,9
3,36,387024,60,468,1007832,10515660,3
2,12,193842,36,510,607266,3203898,10
1,3,86358,15,291,261903,844746,10
3,38,255638,63,228,973914,970165,1
3,26,594724,52,502,454480,1161203,1
2,19,567948,57,304,832466,522452,9
2,11,155584,22,258,1077884,347996,2
2,19,488309,66,589,623124,5297998,14
1,2,94876,10,112,210612,493756,15
1,4,126164,8,136,521732,2671572,11
1,4,275280,8,156,755324,3663836,7
3,37,845006,123,752,2302633,10833624,7
1,5,266740,10,450,322120,491140,14
3,39,587925,130,871,664989,7243418,1
2,20,539740,80,140,992200,7570220,9
3,39,422578,13,208,674154,2330367,2
2,22,460042,11,968,1157882,7885537,12
2,13,463131,32,331,330837,2119897,13
1,5,124405,20,365,875900,669390,12
3,34,299755,34,646,2191912,7576922,11
3,26,445536,60,208,1140724,8157127,15
1,5,253650,10,150,656520,3563540,9
3,35,604835,70,758,1103491,11056231,15
1,1,70918,6,65,119327,809155,4
3,33,763675,11,726,1602667,2281059,2
2,24,822900,120,828,1934904,1470420,12
3,39,551148,130,104,2274714,10868000,3
2,24,311100,36,144,1661928,3280008,8
1,1,43398,5,36,125020,720004,1
2,21,602773,84,294,1924807,1620885,3
2,24,654864,36,408,687912,2616684,9
2,9,126724,27,351,538245,2299045,5
2,8,185380,32,360,660808,3154000,14
3,28,465220,74,485,1283874,3664490,14
2,9,265432,4,121,713623,1721497,4
2,14,473480,28,686,1049615,4219992,8
3,27,646398,72,513,1314747,5608251,9
1,6,424638,60,384,995334,5802522,7
3,36,637860,72,240,1360920,11146800,7
1,1,50833,9,60,158443,916524,2
2,18,665433,18,819,1337481,1145691,4
3,34,362678,56,306,1938170,2705176,12
2,17,173961,8,714,1586474,3648438,4
2,11,333921,22,357,887265,3698843,10
2,10,274705,15,335,837925,2818705,12
3,27,623682,63,612,961227,6016995,7
2,16,248256,48,320,1543800,4389664,9
3,39,650390,39,39,1389076,5124392,5
3,26,384072,17,494,1070515,3235518,4
2,23,580727,11,1138,1385485,7291759,13
3,37,392483,74,703,2032410,2991610,9
1,4,182500,36,140,674624,3718104,6
2,18,664857,90,459,1271655,4485672,11
2,15,203587,30,585,1050810,6306667,8
2,12,320664,6,186,789312,3634044,10
1,6,299748,12,240,813192,881088,1
3,33,509608,88,253,1707684,7462587,11
3,26,467714,8,43,1498657,2537539,8
1,3,117741,30,300,167973,951585,8
1,5,307545,50,430,654280,1334715,15
3,38,346370,12,886,1069066,737326,2
3,25,212291,41,600,1560041,7404100,4
2,16,351416,40,528,1155240,4335984,10
2,16,421096,56,760,734880,7184760,15
2,12,374616,18,288,671562,2628486,2
3,38,647190,101,1013,1185676,8605910,1
1,5,243745,30,265,383860,1367805,1
2,17,210970,42,187,541492,3317431,12
2,19,342817,76,494,1583384,3058126,6
1,4,85456,20,64,253772,880476,1
3,32,567317,96,202,1473792,7958485,8
2,12,279414,12,294,1142382,464676,9
2,13,321210,32,279,525453,1836250,12
2,22,418693,77,484,641905,4813149,1
3,32,479146,64,490,1824416,6579349,2
2,20,293930,90,260,1388670,2309160,5
3,36,709200,72,204,1857192,6777516,3
3,39,378352,52,195,1032096,3202381,7
3,28,520100,56,569,1135306,1172537,14
2,8,184916,4,32,264588,3520472,5
3,37,619195,111,875,2327731,9193513,10
2,10,260340,35,295,515625,3792810,15
3,29,722448,38,154,876786,7906424,15
2,22,467236,66,693,961147,4542912,13
3,37,840837,24,271,1057065,2318222,1
2,15,225585,75,292,616410,3238860,7
1,6,376434,18,324,1139616,3149694,9
2,14,295106,63,182,949235,4948986,7
2,18,234324,54,648,786438,7241832,12
3,33,765633,55,770,1863345,7287852,8
2,22,768889,22,528,1904199,3207655,5
3,38,636930,25,50,1143964,9881355,8
3,26,343503,17,684,1594051,7483909,6
3,29,358536,48,870,1605855,5695667,1
1,6,350658,12,390,431940,2513070,4
1,6,302064,6,114,471102,739002,2
3,39,863031,130,546,2007681,4462640,5
3,34,241740,56,272,1560996,3096142,6
2,15,151380,75,277,1279470,6536797,11
1,4,159400,20,396,551824,271572,1
2,7,134043,35,287,545363,485667,1
2,15,520702,60,135,488145,4605930,9
1,2,108612,8,46,191624,1207110,14
1,5,333015,25,485,879045,3148650,6
3,26,305543,17,468,1496577,6484356,1
2,23,278334,69,782,1274154,7351432,15
3,37,571909,111,271,620835,9782874,1
3,39,810030,13,208,1135901,5464173,10
1,4,110332,20,344,561512,3268872,15
3,35,636895,81,291,2178726,3425065,1
2,19,527962,85,408,921262,7205104,6
2,21,532066,31,388,647125,3149139,11
3,38,447120,50,709,1874198,10793773,4
2,20,458670,30,420,975820,7240700,6
2,7,209555,24,42,404523,3371963,8
2,10,108085,20,225,880015,3031645,3
3,27,489978,18,567,1492335,598221,14
3,32,550026,96,202,989248,2175925,9
2,12,312978,18,42,632676,1957056,7
3,27,361395,45,504,1686375,4745394,3
3,36,569880,96,324,1060968,4128816,7
3,30,383700,70,740,1552560,4354830,5
2,8,281496,28,56,593128,2184652,14
3,29,328966,9,783,1090419,3622622,11
1,5,115305,40,320,631970,2922795,15
2,7,73825,35,318,481554,570195,4
2,8,207276,28,208,730916,1414784,9
1,5,101370,30,25,807975,3390305,2
2,19,490257,76,152,730502,6373930,14
3,32,357674,42,800,796213,7631189,6
2,13,346794,58,227,548470,2333441,4
2,15,335625,37,540,1158885,1418340,11
3,32,578496,64,288,1725365,4845322,7
3,33,698676,110,550,1183523,9014731,8
2,23,435424,103,1092,963665,4380545,13
3,28,316726,93,896,655554,5902530,5
2,14,485184,70,413,801717,1437443,6
3,25,395983,8,525,581333,7470308,6
3,31,738213,10,940,517638,7801181,12
1,6,290676,42,492,551286,4804302,7
3,38,690409,126,836,2192131,1727670,13
2,19,508307,57,874,1070906,5625292,6
3,28,423761,46,541,1129790,5849433,6
3,27,439308,27,72,1019178,2905956,13
3,34,232242,102,1110,1242790,802502,9
2,14,472675,21,441,1375353,6077351,12
1,4,292432,4,188,509960,741808,5
3,34,573115,79,748,770542,4837633,7
2,11,382893,49,269,848864,1624942,15
3,35,784490,93,186,1745473,1017286,2
3,31,555437,41,992,1450169,1362171,9
2,12,449652,36,162,601998,674868,2
2,15,493822,22,495,938662,1462477,1
3,31,443155,20,1002,1246448,2983429,3
2,19,539581,95,323,1761376,9440007,14
3,32,436405,42,96,1713418,8599072,10
3,31,641648,93,485,1320672,9081377,9
3,34,244448,102,804,1243901,7175405,9
2,13,353418,39,546,1182883,4161332,2
2,8,181940,40,300,401196,1368260,5
3,27,650016,27,711,948627,8932131,6
3,30,566770,20,220,1860820,2741830,2
2,24,409740,48,72,2127456,9032460,8
3,39,325611,52,143,2203539,5480436,14
2,12,357582,12,156,872622,4138440,13
1,5,341230,20,305,292795,292705,2
3,32,396096,96,213,1235861,4013280,8
3,39,812552,78,949,894699,4368169,10
2,8,134996,28,36,662508,1726828,11
2,17,289527,17,782,1028653,4605801,7
2,20,468460,20,360,1467560,7027440,2
3,26,582053,8,329,1116743,474448,8
2,19,393499,38,807,602243,2732238,3
3,29,643191,96,522,1453344,8244381,5
1,5,305370,35,255,440055,700580,10
2,19,523820,9,199,1240899,4358885,12
